73,unseemly,adj.,不得体的
74,unwitting,adj.,不知情的
75,yield,v.,"投降, 屈服"
76,accommodate,v.,调解
77,avert,v. ,阻止
78,circumspect,adj.,谨慎的
79,conciliatory,adj.,"安抚的, 调和的"
80,contravene,v.,违反
81,covet,v. ,渴求
82,debunk,v.,"拆穿, 揭露… 的错误"
83,deliberate,v.,深思熟虑
84,dispassionate,adj.,客观的
85,ebb,v.,衰落
86,expel,v.,驱逐
87,genial,adj.,友好的
88,marginal,adj.,"边缘的, 不重要的"
89,misconception,n.,"误解, 错觉"
90,morbid,adj.,不健康的
91,presage,v.,"预测, 预言"
92,row,n.,(多人之间的)争吵
93,succumb,v.,屈服
94,surly,adj.,傲慢的，粗暴的
95,abstemious,adj.,生活节制的
96,convulsion,n.,"骚乱, 动乱"
97,cunning,adj.,狡猾机智的
98,deflate,v.,"使...泄气, 使...挫败"
99,hamstring,v.,损坏
100,knotty,adj.,复杂的
101,loquacious,adj.,话多的
102,measured,adj.,仔细的，有分寸的
103,muddle,v.,使困惑
104,obsequious,adj.,谄媚的 
105,overstate,v.,夸大
106,pertain,v.,与...相关
107,proprietary,adj.,私有的
108,rattle,v.,扰乱
109,sequential,adj.,有序的
110,slippery,adj.,滑的
111,trepidation,n.,"恐惧, 害怕"
112,trigger,v.,触发
113,augment,v.,放大
114,confine,v.,限制
115,counterpart,n.,等价物
116,diffuse,v.,扩散
117,eliminate,v.,"移除, 去掉"
118,exculpate,v.,开脱罪责
119,flourish,v.,繁荣
120,madcap,adj.,鲁莽的，行为冲动的
121,nebulous,adj.,"模糊的, 不清楚的"
122,prefigure,v.,预示
123,propitious,adj.,"吉祥的, 吉利的"
124,reprehensible,adj.,应受指责的
125,trifling,adj., 不重要的
126,umbrage,n.,"生气, 不悦"
127,anticipate,v.,期待
128,burgeon,v.,"繁荣, 快速增长"
129,compelling,adj.,有趣的
130,cursory,adj.,"草率的, 仓促的"
131,deter,v.,阻止
132,downplay,v.,轻描淡写
133,evasive,adj.,"回避的, 闪烁其词的"
134,gainsay,v.,否认
135,gauge,v.,"评估, 判断, 衡量"
136,lucid,adj.,清晰的
137,painstaking,adj.,勤奋努力的
138,pressing,adj.,紧急的
139,rebuff,n.,（粗鲁的）回复
140,somnolent,adj.,"无聊的, 令人昏昏欲睡的"
141,untenable,adj.,"（论点）经不起反驳的, 站不住脚的"
142,urbane,adj.,礼貌的
143,vacant,adj.,空的
144,arbitrary,adj.,"武断的, 任性的"
145,bucolic,adj.,乡间生活的
146,coalesce,v.,"聚合, 团结"
147,detract,v.,贬低
148,disinterested,adj.,客观公正的
149,droll,adj.,"古怪的, 搞笑的"
150,egalitarian,adj.,平等的
151,errant,adj.,随意的
152,explicit,adj.,"明白的, 清楚的"
153,feckless,adj.,"虚弱的, 无能的"
154,feeble,adj.,"衰弱的, 虚弱的"
155,immense,adj.,巨大的
156,indifferent,adj.,冷漠的
157,obfuscate,v.,使…困惑
158,perennial,adj.,多年生的（植物）
159,preachy,adj.,"说教的, 好为人师的"
160,resolve,v.,"决定, 决心要做"
161,smother,v.,使...窒息
162,tremendous,adj.,巨大的
163,undermine,v.,削弱
164,woo,v.,吸引
165,antediluvian,adj.,极为过时的
166,bemoan,v.,"哀悼, 悲伤"
167,confront,v.,反抗
168,crumble,v.,"崩溃, 瓦解"
169,defame,n.,"贬损, 玷污"
170,impair,v.,损害
171,lambaste,v.,严厉批评
172,orthodox,adj.,主流的
173,pacific,adj.,爱好和平的
174,purport,n.,中心思想
175,rant,v.,辱骂
176,retain,v.,保持
177,sketchy,adj.,粗略的
178,standstill,n.,"静止, 停滞"
179,tenuous,adj.,站不住脚的
180,unkempt,adj.,"不整洁的, 邋遢的"
181,adversarial,adj.,敌对的
182,animadversion,n.,"批判, 责骂"
183,dissemble,v.,隐藏伪装（感情、意见）
184,espouse,v.,支持
185,facile,adj.,轻率的，肤浅的
186,fickle,adj.,多变的
187,inevitable,adj.,"不可避免的, 必然的"
188,inscrutable,adj.,难以理解的
189,insufferable,adj.,无法忍受的
190,invalidate,v.,"削弱, 使...无效"
191,involved,adj.,复杂的
192,precursor,n. ,先驱
193,predate,v.,先于
194,scrutinize,v.,仔细检查
195,superficial,adj.,表面的
196,tyro,n.,新手
197,unyielding,adj.,"不妥协的, 固执的"
198,wane,v.,减少，衰退
199,circumvent,v.,"绕过, 回避"
200,comprehensive,adj.,全面的
201,consummate,adj.,"完满的, 圆满的"
202,daunting,adj.,"令人畏惧的, 望而生怯的"
203,imbibe,v.,喝
204,inclusive,adj.,包罗万象的，全面的
205,jettison,v.,"拒绝, 放弃"
206,penalty,n.,惩罚
207,rapacious,adj.,贪婪的
208,ungainly,adj.,笨拙的
209,utter,adj.,完全的
210,anonymous,adj.,不出名的
211,artless,adj.,"朴实的, 单纯的"
212,bolster,v.,支持
213,camaraderie,n.,志同道合之情谊
214,decay,v.,衰退
215,deplete,v.,耗尽
216,disorganize,v.,"打乱, 破坏"
217,fluctuate,v.,"波动, 起伏, 上上下下"
218,haphazard,adj.,"无序的, 凌乱的"
219,hedge,n.,故意模棱两可不绝对的言论
220,indiscernible,adj. ,不明显的
221,insipid,adj.,无聊的
222,negligent,adj.,疏忽大意的
223,noxious,adj.,有害的
224,onset,n.,开始
225,parity,n.,平等
226,predominant,adj.,"最显著的, 主导的"
227,specious,adj.,似是而非的，假的
228,subsidize,v.,"资助, 赞助"
229,untether,v.,"释放, 脱离"
230,banish,v.,驱逐
231,captivate,v.,吸引
232,dogmatic,adj.,教条的
233,effusive,adj.,表达过多感情的
234,emendation,n.,校订
235,erroneous,adj.,错误的
236,exactitude,n.,准确
237,exiguous,adj.,极其缺乏的
238,inflammatory,adj.,煽动性的
239,ingenuous,adj.,"纯朴的, 真诚的"
240,interchangeable,adj.,"可交换的, 相似的"
241,lethargic,adj.,无精打采的
242,palliate,v.,减缓
243,predilection,n.,"倾向, 偏好"
244,proclaim,v.,宣布
245,quash,v.,"废止, 使无效"
246,susceptible,adj.,易受影响的
247,wide-ranging,adj.,广泛的
248,aesthetic,adj.,美学的
249,alleviate,v.,减轻
250,caterwaul,v.,发出难听的声音
251,cluster,v.,聚集
252,convoluted,adj.,"难懂的, 复杂的"
253,impartial,adj.,"公正的, 不偏不倚的"
254,nonchalant,adj.,漠不关心的
255,nostalgia,n.,思乡
256,pejorative,adj.,轻蔑的（话语）
257,posture,n.,"态度, 立场"
258,tepid,adj.,"冷淡的, 不热情的"
259,trivial,adj.,不重要的
260,abandon,n.,放纵
261,affiliate,v.,附属
262,balloon,v.,快速上升
263,curt,adj.,语言简练的
264,disgorge,v.,吐
265,exploit,v.,充分利用
266,impolitic,adj.,不明智的
267,intermediary,adj.,（作为）中间人(的)
268,martinet,n.,要求严格纪律的人
269,omnipresent,adj.,处处都有的
270,preternatural,adj.,异乎寻常的
271,tortuous,adj.,复杂难懂的
272,anathema,n.,极其讨厌的人或事
273,archaic,adj.,过时的
274,bland,adj.,无聊的
275,disintegrate,v.,瓦解
276,embody,v.,体现
277,fealty,n.,忠诚
278,flummery,n.,假恭维
279,forestall,v.,阻止
280,half-formulated,adj.,新出现的
281,ideologue,n.,理论家，提倡者
282,malfeasance,n.,违法行为
283,preeminent,adj.,"杰出的, 独一无二的"
284,self-defeating,adj.,"违背自己利益的, 弄巧成拙的"
285,snobbish,adj.,自命不凡的
286,unqualified,adj.,完全的
287,auspicious,adj.,"吉兆的, 幸运的"
288,beholden,adj.,亏欠的
289,deft,adj.,灵巧的
290,dull,adj.,无聊的
291,equable,adj.,平静的
292,impudent,adj.,无礼的
293,inverse,adj.,相反的
294,laudatory,adj.,赞美的
295,meticulous,adj.,谨慎的
296,nuance,n.,小差异
297,objectionable,adj.,令人反感的
298,optimism,n.,乐观
299,ponder,v.,"沉思, 仔细思考"
300,prevaricate,v.,"搪塞, 闪烁其词"
301,abuse,v.,滥用
302,austere,adj.,"朴素的, 没有装饰的"
303,baffle,v.,使...困惑
304,budding,adj.,新出现的
305,chagrin,n.,"苦恼, 烦恼"
306,contract,v.,招致
307,crestfallen,adj.,沮丧的
308,deleterious,adj.,有害的
309,dovish,adj.,爱好和平的
310,dubious,adj.,"可疑的, 不确定的"
311,forerunner,n.,先驱
312,fusty,adj.,过时的
313,materialize,v.,实现
314,parochial,adj.,地方的
315,profound,adj.,深刻的
316,sidestep,v.,"回避, 绕过"
317,trenchant,adj.,尖酸刻薄的
318,truncate,v.,缩短
319,unexampled,adj.,史无前例的
320,dispute,v.,"争辩, 反对"
321,distinctive,adj.,独特的，显著区别的
322,equivocal,adj.,"模棱两可的, 有歧义的"
323,humility,n.,谦虚
324,insulate,v.,"绝缘, 绝热, 隔音"
325,pugnacious,adj.,好争斗的
326,recondite,adj.,难懂的
327,riddle,n.,"难题, 谜题"
328,taciturn,adj.,沉默寡言的
329,tedious,adj.,冗长无聊的
330,tractable,adj.,"易管理的, 易控制的"
331,brandish,v.,炫耀
332,demanding,adj.,费力的
333,esoteric,adj.,难懂的
334,fester,v.,恶化
335,forgo,v.,放弃(优势)
336,frugal,adj.,节俭的
337,infectious,adj.,传染的
338,obdurate,adj.,固执的
339,opprobrium,n.,辱骂
340,prompt,v.,"促进, 激起"
341,respite,n.,"暂歇, 休息"
342,skittish,adj.,多变的
343,testimony,n.,"证词, 证据"
344,utilitarian,adj.,  实用的
345,alacrity,n.,欣然同意
346,baneful,adj.,有害的
347,belligerent,adj.,好斗的
348,confound,v.,使困惑
349,elusive,adj.,难懂的
350,endorse,v.,公开支持
351,fringe,adj.,"次要的, 边缘的, 不重要的"
352,heterogeneous,adj.,"组成多样的, 混合的"
353,invective,n.,"辱骂, 侮辱"
354,jejune,adj.,无聊的
355,negligible,adj., 可忽略的，不重要的
356,precipitate,v.,加速
357,rehash,v.,（没有实质改变地)重提
358,slur,n.,诽谤
359,sophisticated,adj.,"精于世故的, 老练的"
360,unmistakable,adj.,"清晰的, 一目了然的"
361,absorbing,adj.,吸引人的
362,ameliorate,v.,"改善, 提升"
363,circuitous,adj.,"兜圈子的, 不直接的"
364,consensus,n.,意见一致
365,contemptuous,adj.,鄙视的
366,flout,v.,"蔑视, 鄙视"
367,gloomy,adj.,悲伤的
368,heterodox,adj.,"异端邪说的, 非主流观点的"
369,hyperbole,n.,夸张
370,modicum,n.,少量
371,proponent,n.,支持者
372,prudent,adj.,谨慎的
373,recalcitrant,adj.,顽固的
374,unimpeachable,adj.,毋庸置疑的
375,voracious,adj.,贪婪的
376,wistful,adj.,"渴望的,思念过去的"
377,acknowledge,v.,感谢
378,annihilate,v.,"毁灭, 毁坏"
379,appreciate,v.,升值
380,contingent,adj.,依情况而定的
381,crass,adj.,粗鲁的
382,encomium,n.,赞美
383,erode,v.,腐蚀
384,experimental,adj.,"新颖的, 创新的"
385,legitimate,adj.,合法的
386,long-winded,adj.,冗长无聊的
387,meld,v.,混合
388,onerous,adj.,"繁重的, 费力的"
389,plentiful,adj.,慷慨的
390,purveyor,n.,供应商
391,scant,adj.,稀缺的
392,shoddy,adj.,劣质的
393,taint,v.,"玷污, 破坏"
394,triumph,n.,"胜利, 成就"
395,voluble,adj. ,"健谈的, 话多的"
396,blunt,adj.,直率的
397,condemn,v.,谴责
398,disgruntle,v.,使...不高兴
399,exhilarate,v.,使...喜悦或兴奋
400,garrulous,adj.,话多的
401,impugn,v.,（因人不诚实而）批评抨击
402,incursion,n.,"侵入, 侵犯"
403,loath,adj.,不情愿的
404,magnanimous,adj.,"大度的, 慷慨的"
405,perpetuate,v.,"持续, 使...继续"
406,quiescent,adj.,"静止的, 不活跃的"
407,seminal,adj.,非常有影响力的
408,verisimilitude,n.,逼真
409,acute,adj.,严重的，关键的
410,arcane,adj.,难懂的，鲜为人知的
411,champion,n.,支持者
412,curtail,v.,削减
413,fastidious,adj.,"小心谨慎的, 挑剔的"
414,hasty,adj.,"快速的, 仓促的"
415,indebted,adj.,感激的
416,induce,v.,诱导
417,innate,adj.,天生的
418,opaque,adj.,难懂的
419,qualify,v.,限制
420,collective,adj.,集体的
421,displace,v.,驱逐
422,exacerbate,v.,使...恶化
423,exalt,v.,赞美
424,outmoded,adj.,过时的
425,promise,n.,前景光明
426,relinquish,v.,放弃
427,robust,adj.,强壮的
428,shackle,v. ,阻碍
429,sham,adj.,虚假的
430,valediction,n.,告别 
431,antidote,n. .,解药
432,calumny,n.,诽谤
433,hitch,n.,"（隐形的）问题, 难题"
434,partisan,n.,"强硬支持者（盲目的, 偏见的, 不理性的支持）"
435,peripheral,adj. ,不重要的
436,platitudinous,adj.,平凡的，陈腐的
437,salubrious,adj.,有益健康的
438,doom,v.,注定（失败）
439,facilitate,v.,"辅助, 帮助"
440,formulaic,adj.,"刻板的, 俗套的"
441,misgiving,n.,不安
442,mollify,v.,安抚
443,stanch,v.,阻止
444,unerring,adj.,一贯准确的
445,audacious,adj.,"大胆的, 无畏的"
446,boast,v.,吹嘘
447,chic,adj.,时尚的
448,extol,v.,赞美
449,fathom,v.,理解
450,no-nonsense,adj.,直接的，不允许的不相干的事（话）的
451,numinous,adj.,超自然的
452,perilous,adj.,危险的
453,recoil,v.,畏缩
454,salient,adj.,"明显的, 显眼的"
455,transgress,v.,"违反, 违背"
456,versatile,adj.,多变的
457,buoy,v.,使浮起来 
458,innocuous,adj.,无害的
459,insular,adj.,孤立的
460,noisome,adj.,"有害的, 恶臭的"
461,slapdash,adj.,"草率的, 粗心大意的"
462,transitory,adj.,短暂的
463,apprehend,v.,逮捕
464,maverick,n.,标新立异之人
465,pilfer,v.,盗用
466,qualm,n.,不安
467,quixotic,adj.,不切实际的
468,remedy,v.,"补救, 完善"
469,wield,v.,使用
470,zealot,n.,狂热者
471,adulation,n.,"恭维, 吹捧"
472,bogus,adj.,假的
473,contentious,adj.,引起争议的
474,divest,v.,剥夺
475,forsake,v.,放弃
476,hodgepodge,n.,"混杂, 混合物"
477,ludicrous,adj.,滑稽可笑的
478,oust,v.,驱逐
479,peripatetic,adj.,巡游的
480,subtle,adj.,难以理解的
481,timely,adv.,合时宜地
482,adhere,v.,"依附于…,坚持"
483,arrest,v.,阻止
484,controversial,adj.,有争议的
485,decrepitude,n.,衰老
486,diminutive,adj.,极小的
487,disparage,v.,鄙视
488,divergent,adj.,不同的
489,economy,n.,节省
490,ensue,v. ,紧随其后
491,impede,v.,阻碍
492,monolithic,adj.,庞大而僵硬的
493,shriek,v.,"叫喊, 尖叫"
494,spartan,adj.,简朴的
495,abet,v.,"怂恿, 支持, 教唆（犯罪）"
496,antagonistic,adj.,敌对的
497,diatribe,n.,谩骂
498,euphoria,n.,特别高兴
499,improvise,v.,即兴表演
500,intelligible,adj.,可以理解的
501,protract,v.,延长
502,rapprochement, n.,"友好, 和谐"
503,requisite,adj.,必要的
504,sluggish,adj.,迟钝的
505,synoptic,adj. ,摘要的
506,valorize,v.,规定价格（引申为赞美）
507,vivacious,adj.,活力四射的
508,anthropogenic,adj.,人为的
509,bookish,adj.,书呆子气的
510,callous,adj.,冷漠的
511,callow,adj.,"幼稚的, 稚嫩的"
512,clandestine,adj.,"秘密的, 隐蔽的"
513,contemplate,v.,深入思考
514,oppressive,adj.,压迫的
515,pathetic,adj.,可怜的
516,recant,v.,（公开正式的）否认
517,render,v.,使...进入某种状态
518,sanctimonious,adj.,"假装道德高尚的, 假正经的"
519,scorn,v.,"鄙视, 嘲笑"
520,spur,v.,刺激
521,agreeable,adj.,适合的
522,betoken,v.,预示
523,circumscribe,v.,限制
524,elicit,v.,引起
525,emulate,v.,模仿，通过模仿而超越
526,evenhanded,adj.,公平的
527,imperil,v.,使处于危险
528,itinerant,adj.,巡游的
529,metaphor,n.,比喻
530,obtrusive,adj.,显著的，突兀的
531,occlude,v.,阻塞
532,outdo,v.,"超过, 胜过"
533,overshadow,v.," 超出, 超过"
534,allure,v.,引诱
535,appropriate,adj.,合适的
536,check,v.,阻止
537,discredit,v.,拒绝承认
538,discrepancy,n.,差异
539,insatiable,adj.,无法满足的
540,minuscule,adj.,微小的
541,thrive,v.,兴旺发达
542,apocryphal,adj. ,"被人们普遍接受却不正确的, 假的"
543,cloak,v.,"伪装, 掩盖"
544,commonplace,n.,"平庸, 普通"
545,compulsory,adj.,强制的
546,novice,n.,新手
547,plastic,adj.,能适应的，灵活的
548,acclaim,v.,"欢呼, 喝彩"
549,assuage,v.,"安抚, 缓和"
550,avaricious,adj.,贪婪的
551,eminent,adj.,杰出的
552,fraudulent,adj.,欺诈的
553,insightful,adj.,有洞察力的
554,lapse,v.,停止
555,mimic,v.,模仿
556,obligatory,adj.,"强制的, 必须的"
557,overthrow,v.,推翻
558,sift,v.,"分离, 筛选"
559,sophist,n.,哲学家
560,demise,n.,"死亡, 灭亡"
561,egregious,adj.,极坏的
562,mediate,v.,调解
563,panacea,n.,万能灵药
564,prominent,adj.,著名的
565,rudimentary,adj.,基本的
566,untrammeled,adj.,自由的
567,apposite,adj.,"合适的, 相关的"
568,composed,adj.,冷静的
569,dearth,n.,缺乏
570,exonerate,v.,"免罪, 免责"
571,extraneous,adj.," 不重要的, 不相关的"
572,foresight,n.,远见
573,mockery,n.,嘲笑
574,mount,v.,上升
575,orientation,n.,"取向, 态度"
576,pecuniary,adj.,金钱的
577,preside,v.,"主持, 负责"
578,profligate,adj.,"奢侈的, 花钱大手大脚的"
579,provincial,adj.,眼光狭隘的
580,tonic,adj.,有益健康的
581,vitriolic,adj.,尖酸刻薄的
582,defy,v.,"不遵守,不服从, 抵抗"
583,recrudescent,adj.,复发的
584,sacrosanct,adj.,神圣而不可侵犯的
