coalesce,"[,koə'lɛs]",v. to come together to form one group or mass 合并,
collective,[kəˈlektɪv],adj. shared or done by a group of people 共同的，集体的,
commensurate,[kəˈmɛnsərɪt],"adj. equal or similar to something in size, amount, or degree 相称的",proportionate
commonplace,[ˈkɒmənpleɪs],"(1)n. something that happens or appears in many places and is not unusual 常⻅见
(2)n. an obvious or trite comment 陈词滥调",pervasive
compelling,[kəmˈpelɪŋ],"(1)adj. very interesting 激发兴趣的
(2)adj. capable of causing someone to believe or agree 令⼈人信服的
(3)adj. strong and forceful 强⼤大的",interesting
composed,[kəmˈpəʊzd],adj. calm and in control of your emotions 镇定的,"unperturbed, collected, coolheaded"
comprehensive,[ˌkɒmprɪˈhensɪv],adj. covering completely or broadly 全⾯面的,"exhaustive, sweeping, generic, inclusive"
compulsory,[kəmˈpʌlsəri],"adj. mandatory, enforced 强迫的",
compunction,[kəmˈpʌŋkʃn],n. a feeling of guilt or regret 后悔悔,
conciliatory,[kənˈsɪliətəri],adj. willing to end a disagreement with someone 愿意和解的,placatory
concoct,[kənˈkɒkt],"(1)v. to make by mixing different things together 混合⽽而制
(2)v. to invent or develop 编造",
condemn,[kənˈdem],v. to say in a strong and definitive way that someone or something is bad or wrong 谴责,decry
confine,[kənˈfaɪn],v. to keep within limits 限制,"limit, circumscribe"
confound,[kənˈfaʊnd],"(1)v. to surprise and confuse 使迷惑
(2)v. to prove wrong 证明…有误","perplex, flummox"
confront,[kən'frʌnt],v. to oppose or challenge especially in a direct and forceful way 与...对峙,
consensus,[kənˈsensəs],n. a general agreement about something ⼀一致意⻅见,accord
consummate,['kɑnsəmət],adj. complete in every detail 完美的,
contemplate,[ˈkɒntəmpleɪt],v. to think deeply or carefully about 深⼊入思考,ponder
contemptuous,[kən'tɛmptʃuəs],adj. feeling or showing deep hatred or disapproval 轻蔑的,disdainful
contentious,[kənˈtenʃəs],"(1)adj. likely to cause people to argue or disagree 引起争议的
(2)adj. likely or willing to argue 好争议的",controversial
contingent,[kənˈtɪndʒənt],adj. depending on something else that might or might not happen 取决于,circumstantial
contract,[ˈkɒntrækt],"(1)v. to become smaller 收缩
(2)n. a legal agreement between people, companies, etc. 合同
(3)v. to become affected with 感染",dwindle
contravene,[ˌkɒntrəˈvi:n],v. to fail to do what is required by 触犯,violate
controversial,[ˌkɒntrəˈvɜ:ʃl],"adj. relating to or causing much discussion, disagreement, or argument
有争议的",contentious
convoluted,[ˈkɒnvəlu:tɪd],adj. very complicated and difficult to understand 复杂难解的,"intricate, tortuous"
convulsion,[kənˈvʌlʃn],"n. a sudden change or disturbance that affects a country, organization, etc. 动乱",upheaval
corroborate,[kə'rɑbəret],v. to support with evidence or authority 证实,
counterpart,[ˈkaʊntəpɑ:t],"n. someone or something that has the same job or purpose as another
对应的⼈人或物",parallel
covet,['kʌvɪt],v. to want very much 贪求,envy
crass,[kræs],adj. having or showing no understanding of what is proper or acceptable 愚钝的,
crestfallen,['krestfɔːlən],adj. very sad and disappointed 不不⾼高兴的,disgruntled
crumble,['krʌmbl],v. to break into small pieces 崩溃，破碎,disintegrate
cunning,['kʌnɪŋ],adj. getting what is wanted in a clever and often deceptive way 狡猾的,crafty
cursory,[ˈkɜ:səri],adj. done or made quickly 草率的,"perfunctory, casual"
curt,[kɜ:t],"(1)adj. sparing of words 话少的
(2)adj. marked by rude or peremptory shortness 唐突⽆无礼的","laconic, terse, taciturn"
curtail,[kɜː'teɪl],v. to reduce or limit 缩减,mitigate
daunting,[dɔ:ntɪŋ],adj. tending to make people afraid or less confident 使⼈人畏惧的,"formidable, sensational,
forbidding"
dearth,[dɜ:θ],n. the state or condition of not having enough of something 缺乏,"paucity, modicum"
debunk,[ˌdi:ˈbʌŋk],v. to show that something is not true 揭露露…为假,
decay,[dɪˈkeɪ],"n. the process or result of being slowly destroyed by natural precesses
腐朽",deterioration
decrepitude,[dɪˈkrepɪtju:d],n. the state of being old and in bad condition or poor health 衰⽼老老，⽼老老朽,senescence
defame,[di'feim],v. to hurt the reputation of especially by saying things that are false or unfair 诽谤,
deflate,[dɪˈfleɪt],v. to reduce or cause to contract 使减少,soothe
deft,[deft],adj. skillful and clever 灵巧的,canny
defy,[dɪˈfaɪ],v. to confront with assured power of resistance 蔑视,"disregard, flout"
deleterious,['dɛlə'tɪrɪəs],adj. damaging or harmful 有害的，有毒的,"counterproductive, detrimental, devastating"
deliberate,[dɪˈlɪbərət],"(1)v. to think about or discuss something very carefully in order to make a decision 深思熟虑
(2)adj. done or said in a way that is planned or intended 故意的
(3)adj. done or decided after careful thought 谨慎的",calculated
demanding,[dɪˈmɑ:ndɪŋ],"adj. requiring much time, effort, or attention 苛求的",exacting
demise,[dɪˈmaɪz],n. the end of something that is thought of as being like a death 终⽌止，死亡,
deplete,[dɪˈpli:t],v. to empty of a principal substance 耗尽,
derivative,[dɪˈrɪvətɪv],adj. not new or original ⾮非原创的,
detached,[dɪ'tætʃt],adj. not influenced by emotions or personal interest 公正客观的,
deter,[dɪˈtɜ:],"(1)v. to prevent from happening 阻⽌止
(2)v. to cause to decide not to do something 威慑",constrain
detract,[dɪˈtrækt],"(1)v. to speak ill of 贬低
(2)v. to take away 减损",deprecate
diatribe,[ˈdaɪətraɪb],n. an angry and usually long speech or piece of writing that strongly criticizes someone or something 抨击,rant
diffuse,[dɪˈfju:s],"(1)adj. spread out over a large space 分散的
(2)adj. to spread out 传播
(3)adj. being at once verbose and ill-organized 话多的","spread, disperse, wordy"
diminutive,[dɪˈmɪnjətɪv],adj. very small 极⼩小的,minuscule
discredit,[dɪs'kredɪt],v. to damage the reputation of 使丧失信誉,
discrepancy,[dɪs'krɛpənsi],n. a difference especially between things that should be the same ⽭矛盾,incongruity
disdain,[dɪsˈdeɪn],n. a feeling of contempt for someone or something regarded as unworthy or inferior 鄙视,"opprobrium, contempt"
disgorge,[dɪsˈgɔ:dʒ],v. to let out or release 排出,dump
disgruntle,[dɪs'ɡrʌntl],v. to make ill-humored or discontented 使不不⾼高兴,crestfallen
disintegrate,[dɪs'ɪntɪɡret],v. to break apart into many small parts or pieces 瓦解,crumble
disinterested,[dɪsˈɪntrəstɪd],"(1)adj. not influenced by personal feelings, opinions, or concerns 公正的
(2)adj. not interested 没有兴趣的","fair, impartial"
dismantle,[dɪs'mæntl],v. to take apart so that it is in separate pieces 拆除,
disorganize,[dɪs'ɔ:gənaɪz],v. to destroy or interrupt the orderly structure or function of 扰乱,
disparage,[dɪˈspærɪdʒ],"v. to describe as unimportant, weak, bad, etc. 贬低",slight
dispassionate,[dɪs'pæʃənət],adj. not affected by personal or emotional involvement 公正客观的，冷静客观的,"temperate, analytical"
displace,[dɪsˈpleɪs],"(1)v. to take the job or position of 取代
(2)v. to force to leave the area where they live 迫使离开",obviate
dispute,[dɪˈspju:t],"(1)v. to engage in argument 争吵
(2)v. to call into question 质疑",
dissemble,[di'sembl],"v. to hide your true feelings, opinions, etc. 伪装",duplicity
distinctive,[dɪˈstɪŋktɪv],adj. having a quality or characteristic that makes a person or thing different from others 特别的,
divergent,[daɪ'vɜːdʒənt],adj. differing from each other or from a standard 不不同的,
divest,"[dɪˈvɛst, daɪ-]",v. to deprive or dispossess 剥夺,strip
dogmatic,[dɒgˈmætɪk],adj. expressing personal opinions or beliefs as if they are certainly correct and cannot be doubted 武断的，教条主义的,"doctrinaire, rigid"
doom,[du:m],"(1)n. very bad events or situations that cannot be avoided 厄运
(2)v. to make certain to fail, suffer, die, etc. 使...在劫难逃",
dovish,[ˈdʌvɪʃ],"adj. in favor of using peaceful and diplomatic methods to achieve something, rather than using force and violence 和平主义的",pacific
downplay,[ˌdaʊnˈpleɪ],v. to make seem smaller or less important 不不予重视,
droll,[drəʊl],adj. having an odd and amusing quality 滑稽的,
dubious,[ˈdju:biəs],"(1)adj. unsure or uncertain 不不确定的
(2)adj. causing doubt, uncertainty, or suspicion 可疑的",suspect
dull,[dʌl],adj. not exciting or interesting 乏味的,
ebb,[eb],v. to get worse 衰退,"wane, decline"
economy,[ɪˈkɑnəmɪ],"n. careful use of money, resources, etc. 节约",brevity
effusive,[ɪˈfju:sɪv],adj. expressing a lot of emotion 溢于⾔言表的，感情丰富的,emotional
egalitarian,[iˌgælɪˈteəriən],"adj. aiming for equal wealth, status, etc. 平等主义的",
egregious,[ɪˈgri:dʒiəs],adj. very bad and easily noticed 臭臭名昭著的,flagrant
elate,[ɪ'leɪt],v. to make very happy and excited 使...⾼高兴,
elicit,[iˈlɪsɪt],v. to call forth or draw out 引出,draw out
eliminate,[ɪˈlɪmɪneɪt],"(1)v. to remove (something that is not wanted or needed) 消除
(2)v. to defeat and remove from a competition 淘汰","extirpate, put to rest"
elude,[iˈlu:d],"(1)v. to avoid or escape by being quick, skillful, or clever 避开
(2)v. to fail to be understood or remembered by 不不能被...理理解",puzzle
elusive,[iˈlu:sɪv],"(1)adj. hard to find or capture 难抓住的
(2)adj. hard to understand, define, or remember 难理理解的","slippery, evasive, cryptic"
emblematic,[ˌembləˈmætɪk],adj. representing something that cannot be seen by itself 象征的,totemic
embody,[ɪmˈbɒdi],"(1)v. to represent in a clear and obvious way 象征
(2)v. to include as a part of feature 包括",
emendation,[ˌi:menˈdeɪʃn],n. an alteration designed to correct or improve 修订,revision
eminent,['emɪnənt],"adj. successful, well-known and respected 杰出的",famous
emulate,[ˈemjuleɪt],"(1)v. to try to be like 模仿
(2)v. to strive to equal or excel 努⼒力力赶超",imitate
encomium,[enˈkəʊmiəm],n. glowing and warmly enthusiastic praise 赞美,tribute
endorse,[ɪnˈdɔ:s],v. to publicly or officially say that you support or approve of ⽀支持,"sanction, commend, support, authorize"
enigmatic,[ˌenɪgˈmætɪk],adj. full of mystery and difficult to understand 神秘难懂的,perplexing
ensue,[ɪn'su],v. to happen as a result 随即发⽣生,
entangle,[ɪn'tæŋgl],v. to cause to get caught in or twisted with something else 使纠缠,
equable,['ekwəbl],adj. tending to remain calm 平静的,
equivocal,[ɪ'kwɪvəkl],adj. not easily understood or explained 模棱两可的,ambiguous
erode,[ɪˈrəʊd],v. to diminish or destroy by degrees 腐蚀,
errant,[ˈerənt],"(1)adj. moving about aimlessly or irregularly 不不定的
(2)adj. behaving wrongly ⾏行行为错误的",wayward
erroneous,[ɪ'ronɪəs],adj. not correct 错误的,inaccurate
erstwhile,[ˈɜ:stwaɪl],adj. in the past 过去的,onetime
esoteric,[ˌesəˈterɪk],adj. hard to understand 深奥难懂的,"recondite, arcane,
abstruse"
espouse,[ɪˈspaʊz],v. to express support for 拥护,"champion, advocate, defend"
euphoria,[ju:ˈfɔ:riə],n. a feeling of great happiness and excitement 狂喜,ecstasy
evasive,[ɪˈveɪsɪv],adj. tending or intended to evade: equivocal 逃避的，闪烁其词的,"elusive, equivocal"
evenhanded,['i:vən'hændɪd],adj. not favoring one side or group over another 公平的,impartial
exacerbate,[ɪɡ'zæsɚbet],"v. to make more violent, bitter, or severe 使恶化",aggravate
exacting,[ɪgˈzæktɪŋ],"adj. requiring much time, attention, or effort from someone 严格的","prescriptive, rigorous, demanding"
exactitude,[ɪgˈzæktɪtju:d],n. the quality or state of being accurate and correct 精确性,meticulousness
exalt,[ɪgˈzɔ:lt],v. to praise highly 赞扬,valorize
exculpate,[ˈekskʌlpeɪt],"v. to prove that someone is not guilty of doing something wrong 开脱罪
⾏行行",vindicate
exhaustive,[ɪgˈzɔ:stɪv],adj. very thorough 全⾯面的,"encyclopedic, comprehensive"
exhilarate,[ɪɡˈzɪləˌret],v. to make cheerful and excited 使兴奋,
exiguous,[egˈzɪgjuəs],adj. excessive scanty 稀少的,tenuous
exonerate,[ɪgˈzɒnəreɪt],"v. to prove that someone is not guilty of a crime or responsible for a problem, bad situation, etc. 免罪",absolve
expel,[ɪkˈspel],v. to officially force to leave a place or organization 开除，驱逐,oust
experimental,[ɪkˌsperɪˈmentl],"(1)adj. relating to a scientific experiment or to scientific experiments in general 实验的
(2)adj. using a new way of doing or thinking about something 创新的",innovative
explicit,[ɪkˈsplɪsɪt],"(1)adj. fully revealed or expressed without vagueness, implication, or ambiguity 直截了了当的
(2)adj. fully developed or formulated 详述的",
exploit,[ɪkˈsplɔɪt],"(1)v. to get value or use form 利利⽤用
(2)v. to use in a way that helps you unfairly 剥削",
extol,[ɪkˈstəʊl],v. to praise highly 赞扬,applaud
extraneous,[ɪkˈstreɪniəs],adj. not forming a necessary part of something ⽆无关的,irrelevant
facile,[ˈfæsaɪl],adj. not showing enough thought or effort 肤浅的，轻率的,
facilitate,[fəˈsɪlɪteɪt],v. help bring about 促进，加快,further
fastidious,[fæ'stɪdɪəs],adj. showing or demanding excessive delicacy or care 挑剔的，极其注重细节的,
fathom,[ˈfæðəm],v. to penetrate and come to understand 理理解,
fealty,['fiːəltɪ],"n. loyalty to a person, group, etc. 忠诚",
feckless,['feklɪs],adj. having or resulting from a weak character or nature 软弱的,
feeble,[ˈfi:bl],adj. markedly lacking in strength 虚弱的,
fester,['festə],v. to become worse as time passes 恶化,
fickle,['fɪkl],adj. changing often 善变的,"versatile, volatile, flighty, erratic, capricious"
figurative,[ˈfɪgərətɪv],adj. showing people and things in a way that resembles how they really look ⽐比喻的，象征的,symbolic
fleeting,['flitɪŋ],adj. lasting for only a short time 短暂的,momentary
flourish,[ˈflʌrɪʃ],"(1)v. to grow well 繁茂
(2)v. to be very successful 兴旺
(3)v. to hold up and show in an excited or proud way 炫耀",
flout,[flaʊt],v. to break or ignore without hiding what you are doing or showing fear of shame 公然藐视,"spurn, defy, disregard"
fluctuate,[ˈflʌktʃueɪt],"v. to change level, strength, or value frequently 波动，摇摆不不定","vary, vacillate"
flummery,[ˈflʌməri],"n. mummery, mumbo jumbo 假恭维，胡⾔言乱语",
forbear,[fɔ:ˈbeə],v. to choose not to do 克制,
forerunner,[ˈfɔ:rʌnə],"(1)n. someone or something that comes before another 先驱
(2)n. a sign of something that is going to happen 预兆",precursor
foresight,['fɔːsaɪt],n. the ability to see what will or might happen in the future 先⻅见之明,
forestall,[fɔ:ˈstɔ:l],"(1)v. to stop from happening or to cause to happen at a later time 预先阻⽌止
(2)v. to act before in order to prevent something 提前⾏行行动","stave off, avert, prevent"
forgo,[fɔ:'ɡəʊ],v. to give up the use or enjoyment of 放弃,
formulaic,[ˌfɔ:mjuˈleɪɪk],adj. being not original and having been used many times before in similar situations ⽼老老套的，公式化的,canned
forsake,[fəˈseɪk],v. to give up or leave entirely 抛弃,neglect
fraudulent,['frɔdʒələnt],adj. done to trick someone for the purpose of getting something valuable 欺骗性的,malfeasant
fringe,[frɪndʒ],"n. edge, periphery 边缘","marginal, peripheral"
frugal,['fruɡl],adj. simple and plain 简朴的,thrifty
fusty,[ˈfʌsti],"(1)adj. full of dust and unpleasant smells 霉臭臭的
(2)adj. very old-fashioned 守旧的","obsolete, outmoded"
futile,['fjʊtaɪl],adj. pointless or useless ⽆无⽤用的,pointless
gainsay,[ɡenˈse],v. to declare to be untrue or invalid 否认,
garrulous,[ˈgærələs],adj. tending to talk a lot 喋喋不不休的,loquacious
gauge,[ɡeɪdʒ],"(1)v. to measure exactly 估计，判断
(2)n. an instrument that is used for measuring something 衡量量仪器器",reckon
genial,[ˈdʒi:niəl],adj. kind and friendly 友善的,friendly
glean,[gli:n],v. to gather or collect in a gradual way 搜集，获取,obtain
gloomy,[ˈglu:mi],adj. sad or depressed 忧郁的,"lugubrious, cheerless"
gregarious,[grɪ'geərɪəs],"(1)adj. marked by or indicating a liking for companionship 爱交际的
(2)adj. growing in a cluster or colony 群居的",sociable
hail,[heɪl],v. to greet with enthusiastic approval 称赞,acclaim
half-formulated,[hɑ:f ˈfɔ:mjuleɪted],adj. 半成品的,
hamstring,[ˈhæmstrɪŋ],v. to damage or ruin the force or effectiveness of 使⽆无能为⼒力力,impair
haphazard,[hæpˈhæzəd],"adj. having no plan, order, or direction 随意的","random, helter-skelter"
hasty,[ˈheɪsti],adj. fast and typically superficial 匆忙的，草率的,"impulsive, rapid"
hedge,[hedʒ],v. to avoid giving a promise or direct answer 回避,
heterodox,['hetərəʊdɒks],adj. not agreeing with established beliefs or standards 异端的,iconoclastic
heterogeneous,[ˌhetərəˈdʒi:niəs],adj. made up of parts that are different 各种各样的,"disparate, dissimilar"
high-minded,[hai ˈmaindid],adj. having strong moral principles ⾼高尚的,
hitch,[hɪtʃ],n. a hidden problem that makes something more complicated or difficult to do 故障,snag
hodgepodge,[ˈhɒdʒpɒdʒ],n. a mixture of different things ⼤大杂烩,"patchwork, welter, pastiche"
humility,[hju:ˈmɪləti],n. the quality or state of not thinking you are better than other people 谦逊,modesty
hyperbole,[haɪˈpɜ:bəli],"n. language that describes something as better or worse than it really is
夸⼤大",exaggeration
ideologue,['aɪdɪəlɔɡ],n. someone who very strongly supports and is guided by the ideology of a particular group 狂热⽀支持某种理理念的⼈人,zealot
imbibe,[ɪmˈbaɪb],"(1)v. to drink alcohol 饮酒
(2)v. to receive into the mind and retain 吸收，接受",quaff
immense,[ɪˈmens],adj. very great in size or amount 巨⼤大的,colossal
impair,[ɪmˈpeə],v. to make weaker or worse 损害,"hamstring, undermine, vitiate, compromise, undercut"
impartial,[ɪmˈpɑ:ʃl],adj. treating all people and groups equally 公正的,"evenhanded, disinterested, fair, detachment"
impassioned,[ɪmˈpæʃnd],adj. showing or feeling very strong emotions 热情的,fiery
impede,[ɪmˈpi:d],"v. to slow the movement, progress, or action of 阻碍",hamper
imperil,[ɪmˈpɛrəl],v. to bring into peril: endanger 危及,
impolitic,[ɪm'pɒlɪtɪk],adj. unwise 不不明智的,tactless
impotent,['ɪmpətənt],adj. lacking power or strength ⽆无能的，⽆无⼒力力的,
improvise,['ɪmprəvaɪz],v. to speak or perform without preparation 即兴创作,
impudent,['ɪmpjʊdənt],adj. failing to show proper respect and courtesy 放肆⽆无礼的,
impugn,[ɪmˈpju:n],v. to assail by words or argument 指责,
inclusive,[ɪnˈklu:sɪv],"(1)adj. covering or including everything 全包括的
(2)adj. including the stated limits and everything in between 包括⾸首尾两项的","generic, all- encompassing"
incursion,[ɪnˈkɜ:ʃn],n. a sudden invasion or attack ⼊入侵,
indebted,[ɪn'detɪd],adj. owing gratitude or recognition to another 感激的,beholden
indifferent,[ɪnˈdɪfrənt],"(1)adj. not interested in or concerned about something 冷漠的
(2)adj. marked by impartiality 公正的",apathy
indiscernible,[ˌɪndɪˈsɜ:nəbl],"adj. impossible to see, hear, or know clearly 难以理理解的",imperceptible
indispensable,[ɪndɪ'spensəbl],adj. extremely important and necessary 不不可或缺的,"essential, crucial"
induce,[ɪn'dus],v. to cause to do something 引起,engender
inevitable,[ɪnˈevɪtəbl],adj. sure to happen 必然的,"unavoidable, preordained, ineluctable"
infectious,[ɪnˈfekʃəs],"(1)adj. capable of causing infection 传染性的
(2)adj. spreading or capable of spreading rapidly to others 有感染⼒力力的",
inflammatory,[ɪnˈflæmətri],adj. causing anger 煽动性的,provocative
ingenuous,[ɪnˈdʒenjuəs],"(1)adj. showing innocent or childlike simplicity and candidness 天真的
(2)adj. lacking craft or subtlety 真诚的",
innate,[ɪ'neɪt],adj. existing from the time a person or animal is born 天⽣生的,inborn
